id	form	intent	source_sha256	rc	observed	result
r2arm_contract_call_scrutinee	carrier	REJECT	b65d9ff62444c45a5fe28483d416ca131700e54afc67c29230b83a6cd2c4ff8b	0	ACCEPT	FAIL-silent-accept
r2arm_contract_call_scrutinee	direct	REJECT	b0a77a2e1fd9fc31a465b52f91fac9c30e79d12e4a99d9d3b8c8689194d7b5ca	1	DISPROVED	compare
r2arm_contract_call_guard	carrier	REJECT	144704589a6375a580caf133e433200a7cfd2dd04c7071f8a7448516ad85a63a	0	ACCEPT	FAIL-silent-accept
r2arm_contract_call_guard	direct	REJECT	e7facc56237a38da37a4f7c8edc52eae6d1ef5b2718f90777cc2c16f26f732f7	1	DISPROVED	compare
r2arm_iflet_scrutinee_call	carrier	REJECT	683e5d15ae1587f0c258ae4c427ce6d6c81015c4743ab9e761f22095c33786ae	0	ACCEPT	FAIL-silent-accept
r2arm_iflet_scrutinee_call	direct	REJECT	b0a77a2e1fd9fc31a465b52f91fac9c30e79d12e4a99d9d3b8c8689194d7b5ca	1	DISPROVED	compare
r2arm_same_binder_invalid_match	carrier	REJECT	68120f2ca97d36991ac82112364914a389d1217dbbc20f2da395fee8715d5a76	1	UNDECIDED	FAIL-wrong-class
r2arm_same_binder_invalid_iflet	carrier	REJECT	fa95aa6f54ca850366870ff66eea8b2271f9b31195a0603fc2257e10593db5e3	1	UNDECIDED	FAIL-wrong-class
r2arm_same_binder_valid_match	carrier	ACCEPT	46b07d1258d75d434c71ff2868ec7e92a435a79c9041aa16a7e5425072135fea	1	UNDECIDED	FAIL-wrong-class
r2arm_same_binder_valid_iflet	carrier	ACCEPT	38c7280c73dce18a60f16ae2afecd1a4794faa8add5781da83ea0e1a98c7f9fb	1	UNDECIDED	FAIL-wrong-class
r2arm_dead_binder_after_return	carrier	ACCEPT	00d6467a2ff0b8ad5776fb08aafd95bf42a5f2fc24e73e6bdaed22cf532ae240	1	UNDECIDED	FAIL-wrong-class
r2arm_guard_false_binder_valid	carrier	ACCEPT	392d01e405e7887152773b38648cd4585e9285d7f8646116ca132650b3c143d6	1	UNDECIDED	FAIL-wrong-class
r2arm_guard_establishes_binder_valid	carrier	ACCEPT	0dafb12ae9dc1654052072d0d23227f8aecf0941b646e2cba6c4e7876e371c8b	1	UNDECIDED	FAIL-wrong-class
r2arm_quoted_string_symbol_valid	carrier	ACCEPT	68524c707e04a2eddb486b7ad10898a30553bbddc21c2203b09d13cb2fd14770	0	ACCEPT	PASS
