name	check	run	class	detail
abs	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
acos	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
aead_nonce_from_counter	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
aead_open	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
aead_seal	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
all	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
any	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
append_file	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
apply	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
argon2id_hash	0	1	RUN_REFUSES	ANUBIS_UNSUPPORTED_NATIVE_LOWERING
args	0	0	RUNS	
asin	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
assert	1	1	FAIL_CLOSED_OK	
assume	1	1	FAIL_CLOSED_OK	
atan	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
atan2	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
bool	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
break	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
bytes_hex	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
call	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
cap_acquire	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
cap_acquire_nonexportable	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
cap_export	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
cap_use	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
capitalize	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
cbrt	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
ceil	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
chacha20_poly1305_open	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
chacha20_poly1305_seal	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
char_at	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
